weight,height,gender
193,74,0
187,72,0
202,76,0
178,70,0
207,75,0
183,73,0
191,72,0
196,74,0
133,61,1
137,62,1
141,63,1
146,65,1
132,60,1
149,64,1
139,62,1
143,63,1
147,65,1
134,61,1
186,72,0
194,74,0
201,73,0
179,71,0
208,76,0
197,72,0
206,75,0
181,70,0
189,73,0
193,72,0
136,62,1
141,63,1
146,64,1
131,60,1
151,65,1
139,61,1
143,62,1
149,64,1
137,63,1
145,62,1
183,71,0
199,75,0
194,74,0
188,72,0
203,76,0
179,70,0
208,75,0
184,73,0
192,72,0
197,74,0
134,61,1
138,62,1
142,63,1
147,65,1
133,60,1
150,64,1
140,62,1
144,63,1
148,65,1
135,61,1
185,72,0
190,74,0
200,73,0
175,70,0
210,76,0
195,72,0
205,75,0
180,71,0
188,73,0
192,72,0
135,62,1
140,63,1
145,64,1
130,60,1
150,65,1
138,61,1
142,62,1
148,64,1
136,63,1
144,62,1
182,71,0
198,75,0
193,74,0
187,72,0
202,76,0
178,70,0
207,75,0
183,73,0
191,72,0
196,74,0
133,61,1
137,62,1
141,63,1
146,65,1
132,60,1
149,64,1
139,62,1
143,63,1
147,65,1
134,61,1
186,72,0
194,74,0
201,73,0
179,71,0
208,76,0
197,72,0
206,75,0
181,70,0
189,73,0
193,72,0
136,62,1
141,63,1
146,64,1
131,60,1
151,65,1
139,61,1
143,62,1
149,64,1
137,63,1
145,62,1
183,71,0
199,75,0
194,74,0
188,72,0
203,76,0
179,70,0
208,75,0
184,73,0
192,72,0
197,74,0
134,61,1
138,62,1
142,63,1
147,65,1
133,60,1
150,64,1
140,62,1
144,63,1
148,65,1
135,61,1
185,72,0
190,74,0
200,73,0
175,70,0
210,76,0
195,72,0
205,75,0
180,71,0
188,73,0
192,72,0
135,62,1
140,63,1
145,64,1
130,60,1
150,65,1
138,61,1
142,62,1
148,64,1
136,63,1
144,62,1
182,71,0
198,75,0
193,74,0
187,72,0
202,76,0
178,70,0
207,75,0
183,73,0
191,72,0
196,74,0
133,61,1
137,62,1
141,63,1
146,65,1
132,60,1
149,64,1
139,62,1
143,63,1
147,65,1
134,61,1
186,72,0
194,74,0
201,73,0
179,71,0
208,76,0
197,72,0
206,75,0
181,70,0
189,73,0
193,72,0
136,62,1
141,63,1
146,64,1
131,60,1
151,65,1
139,61,1
143,62,1
149,64,1
137,63,1
145,62,1
183,71,0
199,75,0
194,74,0
188,72,0
203,76,0
179,70,0
208,75,0
184,73,0
192,72,0
197,74,0
134,61,1
138,62,1
142,63,1
147,65,1
133,60,1
150,64,1
140,62,1
144,63,1
148,65,1
135,61,1
185,72,0
190,74,0
200,73,0
175,70,0
210,76,0
195,72,0
205,75,0
180,71,0
188,73,0
192,72,0
135,62,1
140,63,1
145,64,1
130,60,1
150,65,1
138,61,1
142,62,1
148,64,1
136,63,1
144,62,1
182,71,0
198,75,0
193,74,0
187,72,0
202,76,0
178,70,0
207,75,0
183,73,0
191,72,0
196,74,0
133,61,1
137,62,1
141,63,1
146,65,1
132,60,1
149,64,1
139,62,1
143,63,1
147,65,1
134,61,1
186,72,0
194,74,0
201,73,0
179,71,0
208,76,0
197,72,0
206,75,0
181,70,0
189,73,0
193,72,0
136,62,1
141,63,1
146,64,1
131,60,1
151,65,1
139,61,1
143,62,1
149,64,1
137,63,1
145,62,1
183,71,0
199,75,0
194,74,0
188,72,0
203,76,0
179,70,0
208,75,0
184,73,0
192,72,0
197,74,0
134,61,1
138,62,1
142,63,1
147,65,1
133,60,1
150,64,1
140,62,1
144,63,1
148,65,1
135,61,1
185,72,0
190,74,0
200,73,0
175,70,0
210,76,0
195,72,0
205,75,0
180,71,0
188,73,0
192,72,0
135,62,1
140,63,1
145,64,1
130,60,1
150,65,1
138,61,1
142,62,1
148,64,1
136,63,1
144,62,1
182,71,0
198,75,0
193,74,0
187,72,0
202,76,0
178,70,0
207,75,0
183,73,0
191,72,0
196,74,0
133,61,1
137,62,1
141,63,1
146,65,1
132,60,1
149,64,1
139,62,1
143,63,1
147,65,1
134,61,1
186,72,0
194,74,0
201,73,0
179,71,0
208,76,0
197,72,0
206,75,0
181,70,0
189,73,0
193,72,0
136,62,1
141,63,1
146,64,1
131,60,1
151,65,1
139,61,1
143,62,1
149,64,1
137,63,1
145,62,1
183,71,0
199,75,0
194,74,0
188,72,0
203,76,0
179,70,0
208,75,0
184,73,0
192,72,0
197,74,0
134,61,1
138,62,1
142,63,1
147,65,1
133,60,1
150,64,1
140,62,1
144,63,1
148,65,1
135,61,1
185,72,0
190,74,0
200,73,0
175,70,0
210,76,0
195,72,0
205,75,0
180,71,0
188,73,0
192,72,0
135,62,1
140,63,1
145,64,1
130,60,1
150,65,1
138,61,1
142,62,1
148,64,1
136,63,1
144,62,1
182,71,0
198,75,0
193,74,0
187,72,0
202,76,0
178,70,0
207,75,0
183,73,0
191,72,0
196,74,0
133,61,1
137,62,1
141,63,1
146,65,1
132,60,1
149,64,1
139,62,1
143,63,1
147,65,1
134,61,1
186,72,0
194,74,0
201,73,0
179,71,0
208,76,0
197,72,0
206,75,0
181,70,0
189,73,0
193,72,0
136,62,1
141,63,1
146,64,1
131,60,1
151,65,1
139,61,1
143,62,1
149,64,1
137,63,1
145,62,1
183,71,0
199,75,0
194,74,0
188,72,0
203,76,0
179,70,0
208,75,0
184,73,0
192,72,0
197,74,0
134,61,1
138,62,1
142,63,1
147,65,1
133,60,1
150,64,1
140,62,1
144,63,1
148,65,1
135,61,1
185,72,0
190,74,0
200,73,0
175,70,0
210,76,0
195,72,0
205,75,0
180,71,0
188,73,0
192,72,0
135,62,1
140,63,1
145,64,1
130,60,1
150,65,1
138,61,1
142,62,1
148,64,1
136,63,1
144,62,1
182,71,0
198,75,0
193,74,0
187,72,0
202,76,0
178,70,0
207,75,0
183,73,0
191,72,0
196,74,0
133,61,1
137,62,1
141,63,1
146,65,1
132,60,1
149,64,1
139,62,1
143,63,1
147,65,1
134,61,1
186,72,0
194,74,0
201,73,0
179,71,0
208,76,0
197,72,0
206,75,0
181,70,0
189,73,0
193,72,0
136,62,1
141,63,1
146,64,1
131,60,1
151,65,1
139,61,1
143,62,1
149,64,1
137,63,1
145,62,1
183,71,0
199,75,0
194,74,0
188,72,0
203,76,0
179,70,0
208,75,0
184,73,0
192,72,0
197,74,0
134,61,1
138,62,1
142,63,1
147,65,1
133,60,1
150,64,1
140,62,1
144,63,1
148,65,1
135,61,1
185,72,0
190,74,0
200,73,0
175,70,0
210,76,0
195,72,0
205,75,0
180,71,0
188,73,0
192,72,0
135,62,1
140,63,1
145,64,1
130,60,1
150,65,1
138,61,1
142,62,1
148,64,1
136,63,1
144,62,1
182,71,0
198,75,0
193,74,0
187,72,0
202,76,0
178,70,0
207,75,0
183,73,0
191,72,0
196,74,0
133,61,1
137,62,1
141,63,1
146,65,1
132,60,1
149,64,1
139,62,1
143,63,1
147,65,1
134,61,1
186,72,0
194,74,0
201,73,0
179,71,0
208,76,0
197,72,0
206,75,0
181,70,0
189,73,0
193,72,0
136,62,1
141,63,1
146,64,1
131,60,1
151,65,1
139,61,1
143,62,1
149,64,1
137,63,1
145,62,1
183,71,0
199,75,0
194,74,0
188,72,0
203,76,0
179,70,0
208,75,0
184,73,0
192,72,0
197,74,0
134,61,1
138,62,1
142,63,1
147,65,1
133,60,1
150,64,1
140,62,1
144,63,1
148,65,1
135,61,1
185,72,0
190,74,0
200,73,0
175,70,0
210,76,0
195,72,0
205,75,0
180,71,0
188,73,0
192,72,0
135,62,1
140,63,1
145,64,1
130,60,1
150,65,1
138,61,1
142,62,1
148,64,1
136,63,1
144,62,1
182,71,0
198,75,0
193,74,0
187,72,0
202,76,0
178,70,0
207,75,0
183,73,0
191,72,0
196,74,0
133,61,1
137,62,1
141,63,1
146,65,1
132,60,1
149,64,1
139,62,1
143,63,1
147,65,1
134,61,1
186,72,0
194,74,0
201,73,0
179,71,0
208,76,0
197,72,0
206,75,0
181,70,0
189,73,0
193,72,0
136,62,1
141,63,1
146,64,1
131,60,1
151,65,1
139,61,1
143,62,1
149,64,1
137,63,1
145,62,1
183,71,0
199,75,0
194,74,0
188,72,0
203,76,0
179,70,0
208,75,0
184,73,0
192,72,0
197,74,0
134,61,1
138,62,1
142,63,1
147,65,1
133,60,1
150,64,1
140,62,1
144,63,1
148,65,1
135,61,1
185,72,0
190,74,0
200,73,0
175,70,0
210,76,0
195,72,0
205,75,0
180,71,0
188,73,0
192,72,0
135,62,1
140,63,1
145,64,1
130,60,1
150,65,1
138,61,1
142,62,1
148,64,1
136,63,1
144,62,1
182,71,0
198,75,0
193,74,0
187,72,0
202,76,0
178,70,0
207,75,0
183,73,0
191,72,0
196,74,0
133,61,1
137,62,1
141,63,1
146,65,1
132,60,1
149,64,1
139,62,1
143,63,1
147,65,1
134,61,1
186,72,0
194,74,0
201,73,0
179,71,0
208,76,0
197,72,0
206,75,0
181,70,0
189,73,0
193,72,0
136,62,1
141,63,1
146,64,1
131,60,1
151,65,1
139,61,1
143,62,1
149,64,1
137,63,1
145,62,1
183,71,0
199,75,0
194,74,0
188,72,0
203,76,0
179,70,0
208,75,0
184,73,0
192,72,0
197,74,0
134,61,1
138,62,1
142,63,1
147,65,1
133,60,1
150,64,1
140,62,1
144,63,1
148,65,1
135,61,1
185,72,0
190,74,0
200,73,0
175,70,0
210,76,0
195,72,0
205,75,0
180,71,0
188,73,0
192,72,0
135,62,1
140,63,1
145,64,1
130,60,1
150,65,1
138,61,1
142,62,1
148,64,1
136,63,1
144,62,1
182,71
